title_id,reason,has_details_row,quality_flags
obezyana-ramune,TRULY_MISSING,True,
kumusta,TRULY_MISSING,True,
sunim-sonim-puteshestvie-dushi-v-indiyu,TRULY_MISSING,True,
puteshestvie-billa-beyli-po-vetnamu,TRULY_MISSING,True,
horoshaya-sestra,TRULY_MISSING,True,
bandity-na-pensii,TRULY_MISSING,True,
cvety-rascveli-a-ty-uhodish,TRULY_MISSING,True,
iskushenie-gospodina-fu,TRULY_MISSING,True,
obrechen-lyubit-tebya,TRULY_MISSING,True,
dom-dlya-vzroslyh,TRULY_MISSING,True,
konsultant-chelovek-pishuschiy-o-smerti,TRULY_MISSING,True,
gde-chert-vozmi,TRULY_MISSING,True,
voskresenya,TRULY_MISSING,True,
toksichnye,TRULY_MISSING,True,
monashka-zatvornica,TRULY_MISSING,True,
dikoe-vesennee-probuzhdenie,TRULY_MISSING,True,
33-dnya,TRULY_MISSING,True,
istinnoe-pravosudie-oko-za-oko,TRULY_MISSING,True,
slepoy-kop-2,TRULY_MISSING,True,
de-goll-zheleznyy-vek,TRULY_MISSING,True,
chuzhoe-lico,TRULY_MISSING,True,
paromschik-desyat-let,TRULY_MISSING,True,
derzkaya-naslednica-i-ee-vernyy-zaschitnik-iz-stolicy,TRULY_MISSING,True,
trofeynaya-zhena,TRULY_MISSING,True,
svoboda-lyuboy-cenoy,TRULY_MISSING,True,
milost-pobedit,TRULY_MISSING,True,
lester,TRULY_MISSING,True,
balerina-killer,TRULY_MISSING,True,
meduza,TRULY_MISSING,True,
hid,TRULY_MISSING,True,
24-chasa,TRULY_MISSING,True,
golubaya-caplya,TRULY_MISSING,True,
bigfut-pervobytnyy-strah,TRULY_MISSING,True,
menya-zovut-aylamaz,TRULY_MISSING,True,
prinadlezhnost,TRULY_MISSING,True,
engimon,TRULY_MISSING,True,
vashe-velichestvo-s-vashim-vragom-chto-to-ne-tak,TRULY_MISSING,True,
utopaya-v-zvezdnoy-nochi,TRULY_MISSING,True,
omaha,TRULY_MISSING,True,
meksika-86,TRULY_MISSING,True,
neizvestnaya-2,TRULY_MISSING,True,
topurii,TRULY_MISSING,True,
nashi-pervye-semnadcat,TRULY_MISSING,True,
klass-yutuberov-2,TRULY_MISSING,True,
klass-yutuberov,TRULY_MISSING,True,
lyubov-v-pryamom-efire,TRULY_MISSING,True,
