canonical_title_id,external_id,validation_state,normalized_score,vote_count
nova:019d2fb2-4bc3-79ad-8e43-79c8e17d0a4d,37307,VALID,7.18,1038
nova:019d2fc4-3ef5-7b56-98ff-0bee4a191ebd,37266,VALID,7.35,472
nova:019d31ac-2b24-779a-be10-bc166e679b30,37178,VALID,7.17,69
nova:019d3e95-f9e9-7dc4-b678-1cd19c8d8ed4,61443,VALID,7.72,1254
nova:019d4295-5ce1-7c26-9744-3ad6d2c6a332,56906,VALID,6.69,1280
nova:019d4388-1bf0-7a1c-bdc9-c8bf380b5d4f,62066,VALID,5.76,26
nova:019d440b-362a-7268-912a-431d9b4d502c,38804,VALID,7.47,38
nova:019d4555-03a0-7250-8eb4-93cb7d674b78,62825,VALID,5.84,2764
nova:019d495f-d54f-7a84-9b02-81a411771455,59708,VALID,7.83,9176
nova:019d49b6-6287-7332-bf69-810267c88a75,62342,VALID,6.92,453
nova:019d4a4e-1be7-74dd-adf3-17c00ff49650,62893,VALID,7.14,1398
nova:019d4b36-552e-7e4c-939c-9e2d0a8fef4d,40517,VALID,5.91,154
nova:019d4b4c-486a-7e59-bf8b-f99956b32acd,62512,VALID,6.76,992
nova:019d4b5f-356b-7b22-9243-59357b327a55,57779,VALID,8.45,5061
nova:019d4bdf-b2a1-7a84-98cd-53a8975e0204,61831,VALID,6.53,3261
nova:019d4e98-942d-79b6-95e1-2fc4960f76d0,62568,VALID,8.26,6906
nova:019d4f7b-4330-745c-93c9-a67bd239d8de,60852,VALID,8.25,3258
nova:019d4f8c-fb24-7493-8b78-877ebabf0c61,61943,VALID,6.61,1445
nova:019d4f8d-ebbc-7da4-b899-733f43ff8a11,62964,VALID,6.22,834
nova:019d4f8e-dc65-79d7-bf97-f9b2358699d3,59835,VALID,7.16,417
nova:019d4f91-ab03-73fc-820d-084f42c34689,59443,VALID,6.07,979
nova:019d5252-baf3-7889-926a-126ff0e3d1d0,63304,VALID,6.06,1312
nova:019d53b1-b653-72c1-9b05-c98ef104a6b8,61687,VALID,7.67,2780
nova:019d53f7-4d1b-7caf-ab38-9c3dce36c270,56876,VALID,7.0,3598
nova:019d5673-87c6-7357-b506-4a7a8354399a,62068,VALID,6.95,316
nova:019d5873-f4a7-7e21-921d-fa5e36ab0703,60153,VALID,6.53,11
nova:019d587a-7c29-7a61-a23d-150b663ab619,57466,VALID,7.74,914
nova:019d587d-4ad7-76ab-9aaa-cdad67d697ab,60310,VALID,8.08,547
nova:019d59e1-8b7b-77fb-be95-4c68b4cfbc97,62001,VALID,7.86,1631
nova:019d59f0-71fa-74a3-934f-94f13731792c,62913,VALID,6.9,1313
nova:019d5a1f-e8ca-7b0f-bd7c-416828314b34,62050,VALID,7.16,1466
nova:019d5a22-b721-74c7-adb6-43f7ba8c6b24,62164,VALID,7.94,1247
nova:019d5a26-7fc0-7bd1-b91a-e99bae8b7471,61501,VALID,7.08,1796
nova:019d5a28-5f01-7cef-926b-83262ad03d34,62048,VALID,6.95,256
nova:019d5dd9-0483-7af5-afe1-a0b24e5b5c04,63606,VALID,7.71,147
nova:019d5dfd-cb88-7f2f-aab3-31682d9f2208,63433,VALID,5.32,316
nova:019d5e43-97e4-70ba-ad55-3122a4da2041,58877,VALID,8.03,287
nova:019d5ea2-7983-7c8d-90c5-b83443bb5c6d,63375,VALID,8.53,4639
nova:019d5ec6-cf97-72ac-830b-f8edb2ea67e0,62852,VALID,5.35,83
nova:019d5ed4-ab6e-73fe-995c-891ce7c6c043,63857,VALID,6.67,414
nova:019d638b-164b-7203-aae7-4307acd8ebad,51553,VALID,8.48,12686
