exact_hash,group_size,slug_sample
740fe07740bb597e4e717eb5eb090373be3f58f7271c53aec8886a6224f39b1b,2,"grandioznyy-chelovek-pauk,chelovek-pauk-3"
cb29637e3e68041ffe937edb6148d48d86d14f197cea8dc0d757b3f8b7afec37,2,"dlya-tebya-vo-vsem-cvetu-2,dlya-tebya-vo-vsem-cvetu-3"
bcc0bb63e5f6b25a28f4cf37bb260544f7dcb43b15c781929be81bcf79ca2957,2,"tualetnyy-malchik-hanako-2-chast-2,tualetnyy-malchik-hanako-2"
240931549eabc7f1d149e2ec0079c041e200947b88ac234e7da76c4189ec514c,2,"tokiyskie-mstiteli-2,tokiyskie-mstiteli-rozhdestvenskaya-bitva"
31acbd0bb8b96d819dc380bd53f3be6bfa9ab6c1aa5cda5dd0b1ad86fc61da0f,2,"dnevnik-vospominaniy,vremya-vospominaniy"
dee644dde587dc28f5344752d202ad6b007ef136184c27a064273225469255d9,2,"puteshestvie-pak-ha-gen,puteshestvie-pak-ha-gen-2"
f5d8c4d3bad128a4e61ac41e10c376018ee4c71ce208250eeabb4c46e05660e3,2,"liga-spravedlivosti-zaka-snaydera-cherno-belaya-versiya,liga-spravedlivosti-zaka-snaydera"
379ebe5710d93c007f06fa68c32bf6904f8a440766575c69128d2b5716468de5,2,"obedinyaytes-2,obedinyaytes"
bdb7a95b089bde2adea0d5a825ac436c19f0e9550d622a5312d6479e67b05644,2,"podnyatie-urovnya-v-odinochku-povtornoe-probuzhdenie,podnyatie-urovnya-v-odinochku"
89934ca176df659479b0c03cd39418a7ed811cbd2f5b3ed2faa44f88d10b94c6,2,"lyubov-tak-prekrasna-2,lyubov-tak-prekrasna-serial-2020-2021"
aafbdd92ddb7173bace5589aa5a34b1c2260c5e7694299e27d82b8c647a047e7,2,"steklyannaya-dusha-krasavicy,lyubov-i-iskuplenie"
75466ec971da4e644441459e45fc1c87c85513a34cbbfb133e4bd502351508f7,2,"vashe-vysochestvo,vasha-milost"
78a71adeda50f3e97dcc728ad52be96e60ecd78c9b0ecc10563db916f442dc6e,2,"utinye-istorii-korotkie-istorii,utinye-istorii"
16cb17d8a2cfd72f0f166407dea1b78c2a834f4f8c645e98be54386fca48070e,2,"usio-i-tora-tv-2,usio-i-tora"
29ce3258976861d137349dc4cbd1bf1397b33a4bfb05a3a2878213d716034772,2,"ubit-billa-krovavoe-delo-celikom,ubit-billa-2003"
81254033f39281fec36c2e47b441eb7c191b73068455fde5202baa0602beaf10,2,"trast-2,trast"
12ef3ab93aec095edfdd8bba12e82a59a431337cd52f0db23d7368ce0d2a003e,2,"sumerechnaya-zona-6,sumerechnaya-zona-5"
26a62b0bedce642718ecd411d2023aa9b0ae9805c4ff28284fcba2f40b2d3301,2,"skrytye-veschi-film,skrytye-veschi"
dbf4ea1c3b06e5b2b9309443b82c6cefb420f5881586c313c7ee5a93f074495a,2,"povsednevnaya-zhizn-bessmertnogo-korolya-4,povsednevnaya-zhizn-bessmertnogo-korolya-3"
f5c041e663fea6239a1e976e2a1eac7130857796ab2cb57aef787fd9be9060b5,2,"nebolshoy-les-zima-i-vesna,nebolshoy-les-leto-i-osen"
fa7996eb30b01b8ce144b02d420903659d026724a20753a0a106b85a60d17fb3,2,"legenda-o-bryuse-li-4,legenda-o-bryuse-li-3"
800c561837090ecfc2284a6b3717d973524ad9ad9677426f8199dbfa2321376f,2,"forma-golosa-2016,forma-golosa"
213cf6b505e20b3aaffbdcf4f44447328833fe9b384e0aca6536757fb5b131c2,2,"devochka-iz-chuzhezemya-ova,devochka-iz-chuzhezemya"
2aa779024f56f526ad65588e7b25096d8ff8b36af5a5543253ab8563db3c6be3,2,"barmen-bokal-boga-2,barmen-bokal-boga"
f199486115adeabb3467c657fab5e29277634da26c6ad23ab5b9d98391205ed1,2,"ariya-priroda,ariya"
