site_key,source_element,source_href,requested_url,normalized_url,status,final_url,response_time_ms,error_class,build,artifact_hdr,shown_count,error
lords-01,nav,/,https://lordfilm47.space/,https://lordfilm47.space/,200,https://lordfilm47.space/,776,ok,20260919T224500Z-0a5fe648-nova,b9de6b626e6578310b7e35cefd63e08d1715db2ff0664c072064d12e72b146fa,,
lords-01,nav,/movies/,https://lordfilm47.space/movies/,https://lordfilm47.space/movies/,200,https://lordfilm47.space/movies/,79,ok,20260919T224500Z-0a5fe648-nova,b9de6b626e6578310b7e35cefd63e08d1715db2ff0664c072064d12e72b146fa,,
lords-01,nav,/series/,https://lordfilm47.space/series/,https://lordfilm47.space/series/,200,https://lordfilm47.space/series/,66,ok,20260919T224500Z-0a5fe648-nova,b9de6b626e6578310b7e35cefd63e08d1715db2ff0664c072064d12e72b146fa,,
lords-01,nav,/new/,https://lordfilm47.space/new/,https://lordfilm47.space/new/,200,https://lordfilm47.space/new/,82,ok,20260919T224500Z-0a5fe648-nova,b9de6b626e6578310b7e35cefd63e08d1715db2ff0664c072064d12e72b146fa,,
lords-01,nav,/collections/,https://lordfilm47.space/collections/,https://lordfilm47.space/collections/,200,https://lordfilm47.space/collections/,538,ok,20260919T224500Z-0a5fe648-nova,b9de6b626e6578310b7e35cefd63e08d1715db2ff0664c072064d12e72b146fa,,
lords-01,nav,/animation/,https://lordfilm47.space/animation/,https://lordfilm47.space/animation/,200,https://lordfilm47.space/animation/,44,ok,20260919T224500Z-0a5fe648-nova,b9de6b626e6578310b7e35cefd63e08d1715db2ff0664c072064d12e72b146fa,,
lords-01,nav,/catalog/,https://lordfilm47.space/catalog/,https://lordfilm47.space/catalog/,200,https://lordfilm47.space/catalog/,83,ok,20260919T224500Z-0a5fe648-nova,b9de6b626e6578310b7e35cefd63e08d1715db2ff0664c072064d12e72b146fa,,
lords-01,nav,/collection/recently_added/,https://lordfilm47.space/collection/recently_added/,https://lordfilm47.space/collection/recently_added/,200,https://lordfilm47.space/collection/recently_added/,18,ok,20260919T224500Z-0a5fe648-nova,b9de6b626e6578310b7e35cefd63e08d1715db2ff0664c072064d12e72b146fa,,
lords-01,nav,/collection/recently_added_movies/,https://lordfilm47.space/collection/recently_added_movies/,https://lordfilm47.space/collection/recently_added_movies/,200,https://lordfilm47.space/collection/recently_added_movies/,29,ok,20260919T224500Z-0a5fe648-nova,b9de6b626e6578310b7e35cefd63e08d1715db2ff0664c072064d12e72b146fa,,
lords-01,nav,/collection/top_rated/,https://lordfilm47.space/collection/top_rated/,https://lordfilm47.space/collection/top_rated/,200,https://lordfilm47.space/collection/top_rated/,12,ok,20260919T224500Z-0a5fe648-nova,b9de6b626e6578310b7e35cefd63e08d1715db2ff0664c072064d12e72b146fa,,
lords-01,nav,/collection/current_season/,https://lordfilm47.space/collection/current_season/,https://lordfilm47.space/collection/current_season/,200,https://lordfilm47.space/collection/current_season/,37,ok,20260919T224500Z-0a5fe648-nova,b9de6b626e6578310b7e35cefd63e08d1715db2ff0664c072064d12e72b146fa,,
lords-01,nav,/collection/video_available/,https://lordfilm47.space/collection/video_available/,https://lordfilm47.space/collection/video_available/,200,https://lordfilm47.space/collection/video_available/,370,ok,20260919T224500Z-0a5fe648-nova,b9de6b626e6578310b7e35cefd63e08d1715db2ff0664c072064d12e72b146fa,,
lords-01,nav,/genre/zapadnyykontent/,https://lordfilm47.space/genre/zapadnyykontent/,https://lordfilm47.space/genre/zapadnyykontent/,200,https://lordfilm47.space/genre/zapadnyykontent/,113,ok,20260919T224500Z-0a5fe648-nova,b9de6b626e6578310b7e35cefd63e08d1715db2ff0664c072064d12e72b146fa,,
lords-01,nav,/genre/drama/,https://lordfilm47.space/genre/drama/,https://lordfilm47.space/genre/drama/,200,https://lordfilm47.space/genre/drama/,132,ok,20260919T224500Z-0a5fe648-nova,b9de6b626e6578310b7e35cefd63e08d1715db2ff0664c072064d12e72b146fa,,
lords-01,nav,/genre/komediya/,https://lordfilm47.space/genre/komediya/,https://lordfilm47.space/genre/komediya/,200,https://lordfilm47.space/genre/komediya/,67,ok,20260919T224500Z-0a5fe648-nova,b9de6b626e6578310b7e35cefd63e08d1715db2ff0664c072064d12e72b146fa,,
lords-01,nav,/genre/triller/,https://lordfilm47.space/genre/triller/,https://lordfilm47.space/genre/triller/,200,https://lordfilm47.space/genre/triller/,65,ok,20260919T224500Z-0a5fe648-nova,b9de6b626e6578310b7e35cefd63e08d1715db2ff0664c072064d12e72b146fa,,
lords-01,nav,/genre/dorama/,https://lordfilm47.space/genre/dorama/,https://lordfilm47.space/genre/dorama/,200,https://lordfilm47.space/genre/dorama/,65,ok,20260919T224500Z-0a5fe648-nova,b9de6b626e6578310b7e35cefd63e08d1715db2ff0664c072064d12e72b146fa,,
lords-01,nav,/genre/melodrama/,https://lordfilm47.space/genre/melodrama/,https://lordfilm47.space/genre/melodrama/,200,https://lordfilm47.space/genre/melodrama/,70,ok,20260919T224500Z-0a5fe648-nova,b9de6b626e6578310b7e35cefd63e08d1715db2ff0664c072064d12e72b146fa,,
lords-01,nav,/genre/anime/,https://lordfilm47.space/genre/anime/,https://lordfilm47.space/genre/anime/,200,https://lordfilm47.space/genre/anime/,62,ok,20260919T224500Z-0a5fe648-nova,b9de6b626e6578310b7e35cefd63e08d1715db2ff0664c072064d12e72b146fa,,
